Date,Author,Location,Rating,Heading,Body
2020-12-01,Martin Rosensteel,US,5,Great product and was easy to layout…,Great product and was easy to layout the design based on the website design tool. End product was just as expected. My contractor found wainscoting easy to install and saved him a lot of time.
2019-03-06,Vincent White,US,5,Excellent product support and delivery,Excellent product support and delivery
2020-08-28,Annmarie Healy,US,5,Great Company,Great Company. Excellent service. Highly recommend
2024-03-08,John Grave,US,5,Great Service and fast turn around time,"Fast service and very good ordering process, fast turn around"
2016-10-27,Steve S.,US,5,Outstanding product AND customer service!,"Wainscoting America does business the old-fashioned way.  They make a great product, work with you to make sure you get what you expect, take a personal interest in your satisfaction, and then back it all up with great customer service."
2017-10-18,Gregg Berger,US,5,The staff and product are world class!,The staff and product are world class!
2016-10-28,gary meyer,US,5,Great Service,"The companies service and assistance was great. My project turned out great, and I get a lot of compliments."
2019-11-11,Kathy Hecimovich,US,5,We received the Wainscoting in a very…,"We received the Wainscoting in a very timely manner. It arrived well wrapped with no breakage or chipped edges. The finished product looks great. I only wish we could have had the electrical outlet cut out by you. We could not change the location , and it just happened to locate between the two panels that fit together. But it all came out ok. Thanks for a great product."
2020-11-14,Scott,US,5,Tall wainscot in sitting room,Used a tall wainscot in sitting room as an accent wall   Painted gray looks excellent
2018-07-10,Frank Girard,US,5,excellent company,excellent company
2024-10-24,RS MacNeil,US,5,Deb is so great!!!!,Deb is so great!!!!
2020-08-30,Steve P,US,5,Nice customized cuts that fished off kitchen cabinets.,"Bob was great in accepting custom requirements for my Shaker kitchen cabinets. The cuts were all precise so that everything fit perfectly, and I was able to add a nice finished looked to the cabinet ends and the bar/island. The delivery was fast and the panels were well packaged to prevent damage. I’m very happy with their service, and I would highly recommend them."
2020-03-13,Michael Fredrick,US,5,Performamce,I have been ordering from them for over 9 years and they are Always helpful and always a perfect fit.
2016-11-17,Douglas W.,US,4,cabinet panels,"The panels look nice but our didn't  paint consistenly.  They asborb the paint differently in areas.

Update 12/212016, yes they followed up and were very supportive. I believe our expenience may have been unique since we were trying to match a kitchen cabinet grade finish.  The finish on the panels are find."
2024-06-11,C. Carlson,US,5,Great customer service,"Great customer service, helped me pick a product and made suggestions. Product shipped quickly and was as advertised."
2019-12-12,Jim Zahn,US,5,Excellent packaging and perfection in…,Excellent packaging and perfection in the milling work.
2018-12-09,Wendy Sayer,US,5,Wonderful service and the finished room…,Wonderful service and the finished room looks amazing. I would use them again.
2021-11-20,Maria Jorgenson,US,5,Our fireplace turned out just how we…,Our fireplace turned out just how we envisioned it. Wainscoting America was very helpful and called to confirm some things before starting our project which allowed us a chance to ask questions about installing. We are so happy with how everything turned out!
2022-06-20,Gary Wallace,US,5,The wainscoting was everything that I…,The wainscoting was everything that I wished for & more! The quality is outstanding along with the customer service.
2023-04-05,customer,US,5,Product is easy to order,"Product is easy to order, high quality, when you actually get it it is even better than one expected!"
2016-12-30,Michelle L.,US,5,I work for a general contracting co …,"I work for a general contracting company and have worked with many vendors and I have to say, Wainscoting America has the most wonderful customer service and amazing communication.  They really care about your project big or small and are always willing to help.  We purchased our first set of panels for a project recently and the product is also great.  I hope we have another project soon that will require wainscoting because I want to work with them again."
2017-11-24,Mary Brienza,US,5,Excellent customer service and an …,Excellent customer service and an excellent product. Every contractor that I showed this to was impressed with the quality. The installation was a breeze and instantly elevated the look of our kitchen.
2023-06-09,Katie Petros,US,5,Wainscoting America- 5 star Customer Service!,Working with Wainscoting America felt very personalized and easy to resolve issues.  I was on an expedited time schedule and they did everything they could to meet my needs.  We had some issues with delivery and they resolved them as soon as possible. Deb was extremely attentive and went the extra mile to provide exceptional customer service.
2022-08-04,Andrew Rodriguez,US,5,Doors,The doors I ordered were perfect. The fit like a glove. Great job and I would recommend your company to anyone.
2020-08-08,Brad ,US,5,Perfect fit beautiful work,Perfect fit beautiful work
2018-10-30,Barbara Drzymkowski,US,5,Beautiful molding,Very nice molding. Beautiful design. Precise cuts.
2021-02-03,RIck B,US,5,Totally recommended!,Wonderful to work with! Very helpful with designing and resolved an issue with a damaged shipment without any hesitation and rushed the replacement. Would absolutely recommend Wainscoting America for any Wainscoting needs!
2017-11-01,Roger Oxee,US,5,Do you want to increase the value of your home?,. Great product! They are great to work with and work hard to make sure that the customer is completely satisfied
2022-08-25,Tim,US,5,Placed the order use the design tool,Placed the order use the design tool. I was contacted to see if I confident with the measurements or needed assistance measuring the project. Received the order within 14 days and found two small filler boards were missing. Contacted Wainscoting America who apologized and sent out the missing boards that day. The stair wainscoting project turned out great thanks to the quality of Wainscoting America. Will definitely recommend Wainscoting America to friends and will use their products in future projects
2020-10-16,Victor Rodriguez,US,5,Beautiful!,The wainscot panels are beautifully made. Even the contractor was impressed with the quality. The service was outstanding as well. Will order more panels in the future.
2018-11-14,Maureen Kennedy,US,5,They went out of their way to get us…,"They went out of their way to get us the panels in a timely manner.  They had run into a problem which could have delayed us receiving them and held up our project. At their expense, they cut the panels and shipped them immediately.  Easy to deal with.  Friendly, helpful, informative staff who were great to work with."
2020-12-15,customer,US,5,Great Product,"Great Product. Precision dimensions, easy to use. Great packing. Thanks!"
2025-04-26,Randy Hartenstine,US,5,Working with Wainscoting america was…,"Working with Wainscoting america was amazing! very kind professional and very detail oriented...Mrs Debbie is always on top of her game catching all the little mistakes and she knows that stuff inside and out and will alway go out of her way to make the project run smoothly and process everything correctly!

thanks so much hope my panels are good and my install goes well
Randy"
2023-04-17,Joohyun Ro,US,5,Great Product!,"Easy to design, easy to install, and best of all - looks great when done even for someone like me with minimal ability or experience.  Completed the project for one room and was so pleased I took on a second project.  The only challenge was in handling a panel at its maximum length as these are made very sturdy and thus pretty heavy (also explains the fairly steep shipping charges)  Customer service was also great in that there was an error with my order and the company responded quickly and worked with me in coming up with a fair/win-win resolution."
2022-09-11,Dave,US,5,Top quality with accurate dimensions,Top quality with accurate dimensions.  Highly recommend and would use them again.
